"Module version","Moduuli versio"
"API login","API-kirjautumiset"
"API Password:","API-salasana:"
"Your username to use API","Käyttäjätunnuksesi käyttämään API"
"Your password to use API","Salasanasi käyttää API"
"Production URL","Tuotannon URL"
"Test connection","Testaa yhteys"
"Can we connect to Altapay","Voimmeko liittää Altapay"
"Test authentication","Testaa todennus"
"Can we authenticate to Altapay - Remember to save after you have typed your API login and password","Voimmeko todentaa Altapay - Muista tallentaa, kun olet kirjoittanut API-kirjautumistunnuksesi ja salasanasi"
"Order status","Tilauksen tila"
"Order status - before payment","Tilaustila - ennen maksua"
"The status on the order before payment (if the user closes the browser inside the payment windows, the order will have this status)","Tilatila ennen tilausta (jos käyttäjä sulkee selaimen maksutapahtumien sisällä, tilaus on tämä tila)"
"Order status - after payment","Order status - after payment"
"The status on the order after payment is approved","Tilaus maksun suorittamisen jälkeen hyväksytään"
"Order status - Fraud detected","Tilaustila - petos havaittu"
"The status on the order if fraud is detected","Tila tilassa, jos petos havaitaan"
"Order status - cancel","Tilaustila - peruuta"
"The status on the order if a user cancel the order in the payment window","Tila tilauksesta, jos käyttäjä peruuttaa tilauksen maksu-ikkunassa"
"Terminal #1","Terminal #1"
"Terminal #2","Terminal #2"
"Terminal #3","Terminal #3"
"Terminal #4","Terminal #4"
"Terminal #5","Terminal #5"
"Title","Otsikko"
"Terminal name","Terminaalin nimi"
"Select terminal - Remember to save configuration after you have added your API login and password, to get your terminals","Valitse päätelaite - Muista tallentaa kokoonpano, kun olet lisännyt API-kirjautumistunnuksesi ja salasanasi saadaksesi päätteesi"
"Force language","Pakota kieli"
"Force the language of the payment page","Pakota maksusivun kieli"
"Auto capture","Automaattinen talteenotto"
"If you only sell download products, which are delivered immediately you can turn this on","Jos myyt vain ladattavia tuotteita, jotka toimitetaan välittömästi, voit ottaa sen käyttöön"
"Gateway version","Gateway-versio"
"Reset","Asettaa uudelleen"
"Logs","Tukit"
"Enable","Aktivoida"
"Disable","Vaurioittaa"
"French","Ranskan kieli"
"German","Saksan kieli"
"English","Englanti"
"Spanish","Espanja"
"Chinese","Kiinalainen"
"Italian","Italialainen"
"Japanese","Japanilainen"
"Portuguese","Portugalin kieli"
"Dutch","Hollannin kieli"
"Swedish","Ruotsin kieli"
"Russian","Venäjän kieli"
"Polish","Puolan kieli"
"Turkish","Turkin kieli"
"Available languages","Käytettävissä olevat kielet"
"ALL","Kaikki"
"Method title","Menetelmän nimi"
"Yes","Joo"
"No","Ei"
"Sort order","Lajittelujärjestys"
"Restrict to some countries","Rajoita joihinkin maihin"
"All Allowed Countries","Kaikki sallitut maat"
"Specific Countries","Erityismaat"
"Product page","Tuotesivu"
"Cart page","Maksutapa"
"Payment Method","Määrä"
"Amount","Sähköposti"
"Email","Etunimi"
"First Name","Sukunimi"
"Last Name","Osoite"
"Address","Postinumero"
"Postcode","Kaupunki"
"City","Maa"
"Country","Country"
"Please wait","Please wait"
"OKAY","OKEI"
"Redirected to Altapay - Payment request ID","Ohjattu Altapay - Maksupyynnön tunnus"
"Notification callback from Altapay","Ilmoituspuhelu Altapaysta"
"Altapay - Consumer has canceled the payment","Altapay - kuluttaja on peruuttanut maksun"
"Card declined, consumer redirected to the payment form","Kortti hylättiin, kuluttaja ohjasi maksutapaan"
"Card declined, consumer redirected to the payment section","Kortti hylättiin, kuluttaja ohjasi maksuosioon",
"Altapay - Consumer has tried to pay but the payment failed","Altapay - kuluttaja on yrittänyt maksaa, mutta maksu epäonnistui"
"Payment is completed","Maksu suoritetaan"
"OK callback from Altapay","OK soittopyyntö Altapaysta"
"Payment failed! Consumer has pressed the back button from the payment page.","Maksu epäonnistui! Kuluttaja on painanut takaisin-painiketta maksusivulta."
"error","virhe"
"success","menestys"
"Could not authenticate with API","API: lla ei voitu todentaa"
"error occured","tapahtui virhe"
"Payment failed due to the browser back button usage!","Maksu epäonnistui selainpainikkeen käytön takia!"